work_year,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,name_c,region_c,name_e,region_e,salary_in_usd_160hs,sub-region_c_Australia and New Zealand,sub-region_c_Eastern Asia,sub-region_c_Eastern Europe,sub-region_c_Latin America and the Caribbean,sub-region_c_Northern Africa,sub-region_c_Northern America,sub-region_c_Northern Europe,sub-region_c_Polynesia,sub-region_c_South-eastern Asia,sub-region_c_Southern Asia,sub-region_c_Southern Europe,sub-region_c_Sub-Saharan Africa,sub-region_c_Western Asia,sub-region_c_Western Europe,sub-region_e_Australia and New Zealand,sub-region_e_Central Asia,sub-region_e_Eastern Asia,sub-region_e_Eastern Europe,sub-region_e_Latin America and the Caribbean,sub-region_e_Northern Africa,sub-region_e_Northern America,sub-region_e_Northern Europe,sub-region_e_Polynesia,sub-region_e_South-eastern Asia,sub-region_e_Southern Asia,sub-region_e_Southern Europe,sub-region_e_Sub-Saharan Africa,sub-region_e_Western Asia,sub-region_e_Western Europe,general_job_title_Analista de Datos y Business Intelligence,general_job_title_Científico de Datos y Machine Learning,general_job_title_Científico e Investigación,general_job_title_Gestión y Liderazgo,general_job_title_Ingeniería de Datos y Big Data,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE
2023,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,L,Spain,Europe,Spain,Europe,85847,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Spain,Europe,Spain,Europe,38631,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Spain,Europe,Spain,Europe,38631,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Big Data Engineer,45000,EUR,48289,ES,100,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2023,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Spain,Europe,Spain,Europe,38631,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Business Data Analyst,20000,EUR,21461,ES,0,ES,M,Spain,Europe,Spain,Europe,21461,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
2023,FT,Data Scientist,55000,EUR,59020,ES,0,ES,M,Spain,Europe,Spain,Europe,59020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2023,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2023,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,Spain,Europe,Spain,Europe,48289,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,Spain,Europe,Spain,Europe,38631,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
2023,FT,AI Scientist,36000,EUR,38631,ES,50,ES,L,Spain,Europe,Spain,Europe,38631,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
2023,FT,Data Analyst,52000,EUR,55800,ES,100,ES,M,Spain,Europe,Spain,Europe,55800,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2023,FT,Data Analyst,48000,EUR,51508,ES,100,ES,M,Spain,Europe,Spain,Europe,51508,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2023,FT,Research Scientist,253750,USD,253750,ES,0,ES,M,Spain,Europe,Spain,Europe,253750,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2023,FT,Research Scientist,169200,USD,169200,ES,0,ES,M,Spain,Europe,Spain,Europe,169200,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2023,FT,Research Scientist,253750,USD,253750,ES,0,ES,M,Spain,Europe,Spain,Europe,253750,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2023,FT,Research Scientist,169200,USD,169200,ES,0,ES,M,Spain,Europe,Spain,Europe,169200,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2023,FT,Data Engineer,62000,EUR,66531,ES,100,ES,M,Spain,Europe,Spain,Europe,66531,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2023,FT,Data Engineer,55000,EUR,59020,ES,100,ES,M,Spain,Europe,Spain,Europe,59020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2023,FT,Data Analyst,48000,EUR,51508,ES,0,ES,M,Spain,Europe,Spain,Europe,51508,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2023,FT,Data Analyst,38000,EUR,40777,ES,0,ES,M,Spain,Europe,Spain,Europe,40777,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
